sentence_id	sentence	target	category	polarity	category_polarity	entailed	start	end

TripAdivisor_Vi_0:0	Đầy đủ dịch vụ tiện nghi .	đầy đủ dịch vụ tiện nghi	service	positive	service positive	yes	1	7

TripAdivisor_Vi_0:0	Đầy đủ dịch vụ tiện nghi .	đầy đủ dịch vụ tiện nghi	service	negative	service negative	no	0	0

TripAdivisor_Vi_0:0	Đầy đủ dịch vụ tiện nghi .	đầy đủ dịch vụ tiện nghi	service	neutral	service neutral	no	0	0

TripAdivisor_Vi_0:1	Ăn sáng buffe ngon .	ăn sáng buffee ngon	service	positive	service positive	yes	1	5

TripAdivisor_Vi_0:1	Ăn sáng buffe ngon .	ăn sáng buffee ngon	service	negative	service negative	no	0	0

TripAdivisor_Vi_0:1	Ăn sáng buffe ngon .	ăn sáng buffee ngon	service	neutral	service neutral	no	0	0

TripAdivisor_Vi_0:2	Hồ bơi đẹp .	hồ bơi đẹp	facility	positive	facility positive	yes	1	4

TripAdivisor_Vi_0:2	Hồ bơi đẹp .	hồ bơi đẹp	facility	negative	facility negative	no	0	0

TripAdivisor_Vi_0:2	Hồ bơi đẹp .	hồ bơi đẹp	facility	neutral	facility neutral	no	0	0

TripAdivisor_Vi_0:3	Vị trí di chuyển thuận lợi gần hồ tây .	vị trí di chuyển thuận lợi gần hồ tây	amenity	positive	amenity positive	yes	1	10

TripAdivisor_Vi_0:3	Vị trí di chuyển thuận lợi gần hồ tây .	vị trí di chuyển thuận lợi gần hồ tây	amenity	negative	amenity negative	no	0	0

TripAdivisor_Vi_0:3	Vị trí di chuyển thuận lợi gần hồ tây .	vị trí di chuyển thuận lợi gần hồ tây	amenity	neutral	amenity neutral	no	0	0

TripAdivisor_Vi_0:4	Phòng nhỏ nhưng sang trọng rất đẹp, phòng có view thoáng có khu tầng cao rooftop rất thích .	phòng nhỏ nhưng sang trọng rất đẹp , phòng có view thoáng có khu tầng cao rooftop rất thích	facility	positive	facility positive	yes	1	20

TripAdivisor_Vi_0:4	Phòng nhỏ nhưng sang trọng rất đẹp, phòng có view thoáng có khu tầng cao rooftop rất thích .	phòng nhỏ nhưng sang trọng rất đẹp , phòng có view thoáng có khu tầng cao rooftop rất thích	facility	negative	facility negative	no	0	0

TripAdivisor_Vi_0:4	Phòng nhỏ nhưng sang trọng rất đẹp, phòng có view thoáng có khu tầng cao rooftop rất thích .	phòng nhỏ nhưng sang trọng rất đẹp , phòng có view thoáng có khu tầng cao rooftop rất thích	facility	neutral	facility neutral	no	0	0

TripAdivisor_Vi_1:0	Khách sạn mới, sạch sẽ, có bar và bể bơi ở tầng thượng, có view đẹp nhìn ra sông .	khách sạn mới , sạch sẽ , có bar và bể bơi ở tầng thượng , có view đẹp nhìn ra sông	facility	positive	facility positive	yes	1	23

TripAdivisor_Vi_1:0	Khách sạn mới, sạch sẽ, có bar và bể bơi ở tầng thượng, có view đẹp nhìn ra sông .	khách sạn mới , sạch sẽ , có bar và bể bơi ở tầng thượng , có view đẹp nhìn ra sông	facility	negative	facility negative	no	0	0

TripAdivisor_Vi_1:0	Khách sạn mới, sạch sẽ, có bar và bể bơi ở tầng thượng, có view đẹp nhìn ra sông .	khách sạn mới , sạch sẽ , có bar và bể bơi ở tầng thượng , có view đẹp nhìn ra sông	facility	neutral	facility neutral	no	0	0

TripAdivisor_Vi_1:1	Vị trí rất thuận tiện cho việc đi lại .	vị trí rất thuận tiện cho việc đi lại	amenity	positive	amenity positive	yes	1	10

TripAdivisor_Vi_1:1	Vị trí rất thuận tiện cho việc đi lại .	vị trí rất thuận tiện cho việc đi lại	amenity	negative	amenity negative	no	0	0

TripAdivisor_Vi_1:1	Vị trí rất thuận tiện cho việc đi lại .	vị trí rất thuận tiện cho việc đi lại	amenity	neutral	amenity neutral	no	0	0

TripAdivisor_Vi_1:2	Phòng nghỉ bố trí hài hòa, tiện nghi .	phòng nghỉ bố trí hài hòa , tiện nghi	facility	positive	facility positive	yes	1	10

TripAdivisor_Vi_1:2	Phòng nghỉ bố trí hài hòa, tiện nghi .	phòng nghỉ bố trí hài hòa , tiện nghi	facility	negative	facility negative	no	0	0

TripAdivisor_Vi_1:2	Phòng nghỉ bố trí hài hòa, tiện nghi .	phòng nghỉ bố trí hài hòa , tiện nghi	facility	neutral	facility neutral	no	0	0

TripAdivisor_Vi_1:3	Ăn sáng ngon .	ăn sáng ngon	service	positive	service positive	yes	1	4

TripAdivisor_Vi_1:3	Ăn sáng ngon .	ăn sáng ngon	service	negative	service negative	no	0	0

TripAdivisor_Vi_1:3	Ăn sáng ngon .	ăn sáng ngon	service	neutral	service neutral	no	0	0

TripAdivisor_Vi_1:4	Tôi hài lòng từ khâu đón tiếp đến cách phục vụ của khách sạn, nhân viên rất nhiệt tình và chu đáo .	tôi hài lòng từ khâu đón tiếp đến cách phục vụ của khách sạn , nhân viên rất nhiệt tình và chu đáo	service	positive	service positive	yes	1	24

TripAdivisor_Vi_1:4	Tôi hài lòng từ khâu đón tiếp đến cách phục vụ của khách sạn, nhân viên rất nhiệt tình và chu đáo .	tôi hài lòng từ khâu đón tiếp đến cách phục vụ của khách sạn , nhân viên rất nhiệt tình và chu đáo	service	negative	service negative	no	0	0

TripAdivisor_Vi_1:4	Tôi hài lòng từ khâu đón tiếp đến cách phục vụ của khách sạn, nhân viên rất nhiệt tình và chu đáo .	tôi hài lòng từ khâu đón tiếp đến cách phục vụ của khách sạn , nhân viên rất nhiệt tình và chu đáo	service	neutral	service neutral	no	0	0

TripAdivisor_Vi_1:5	Chắc chắn sẽ ghé lại .	chắc chắn sẽ ghé lại	loyalty	positive	loyalty positive	yes	1	6

